Issue key,Issue id,Summary,Custom field (Epic Link),Description,Reporter,Assignee,Labels,Labels,Issue Type,Priority
MB-1131,523853,Implement Launch Plan details,MB-1838,"This will probably be similar to Workflow Version details, in that it will show information from the closure. But it may not show the graph, or it may optionally allow a user to show a graph view of the workflow at that version.

TODO: Determine which details of a LP are useful to show.

A TODO in code was at line 79 of src/components/Launch/SchedulesTable.tsx on 7/30/2019
 A TODO in code was at line 59 of src/components/Launch/LaunchPlansTable.tsx on 7/30/2019",rschott,rschott,flyte_public,,Task,Minor
MB-1073,507832,Figure out validation / default value implementation for JS,MB-1838,"Problem:

The messages coming back from the API are decoded by protobufjs. But since all the fields in a proto messages are optional by convention, we don't have any assurance that the records are valid and usable. This has caused errors before on the client side.

 

Solution options:
 # Manual validation of the records and type-casting (`message as X`) or type-guarding (`: message is X`) to the stricter types present on the client side. This has the advantage of being flexible in the UI requirements, and the disadvantage of being difficult to keep in sync with the protobuf source of truth.
 # Automated validation via some type of schema definition stored on the client side (JSON Schema is one such option). This has the advantage of generating consistent code on the client side which is kept up-to-date automatically as the schema is updated, as well as providing a schema document that can be used to validate the JSON output from the API. It has the same disadvantage of being a separate solution which must be updated manually any time the API contract changes.
 # Switch the console to use protoc-generated JS/TS libraries and decorate all protobuf messages with the appropriate validation. This has the advantage of the validation rules being identical on both server and client (and updating automatically) as well as providing a generic solution for validation (call validate() on the message class coming back from the server). It has the disadvantage of requiring a non-trivial amount of work: Switching from protobufjs to protoc, enabling the TS output from protoc, updating console code to work with the new typings and decoding strategy.

Option 3 is ideal, but the amount of work necessary to do so is concerning (especially considering it may not work correctly and we might have to back it out).",rschott,rschott,flyte_public,,Story,Major
MB-1206,547279,Graph Enhancements,MB-1563,"This is to cover any overflow / nice-to-haves on the graph implementation after the initial usable version. Some ideas:
 * Diving into layers of the graph (i.e. expanding subworkflow nodes inline)
 * Zooming/panning
 * Hover animations, including highlighting data flow in adjacent nodes
 * Animations on nodes in progress
 * Different rendering for nodes which were not executed",rschott,rschott,flyte_public,,Task,Major
MB-1877,1001248,Add workflow level timeouts,MB-1563,,aswaminathan,,flyte_public,,Task,Major
MB-866,429245,Validation of all CRD using OpenAPI spec,MB-1525,Creating CRDs should not result in a death spiral of the operator. We should provide hooks to validate the spec,kumare,changhonghsu,flyte_public,,Story,Minor
MB-1887,1004488,Rework dynamic node relationships in data model,MB-1838,"Admin currently allows tasks to be parents of other nodes (1->many) and nodes to be parents of other tasks (1-1). This has lead to some confusion/assumptions:
 * While tasks do yield nodes, they, tasks, finish executing well before those nodes start. It's not entirely accurate to have this task->node parent relationship
 * Due to how they are currently presented in the data model, the nested UX looks confusing with the task row showing success and sub-rows showing running (indicating the yielded nodes are still running).

We have talked separately on different occasions about how this should ideally be represented. This task is to track the concrete steps towards a better model.",habuelfutuh,habuelfutuh,flyte_public,,Task,Major
MB-1606,875026,"Execution IDs aren't copy-pastable across UI, CLI",MB-1563,"The full execution idea ID ex:project:domain:id

 

In the UI we only show the last portion (""id"")

The CLI requires the full ""ex:project:domain:id"", meaning you can easily copy-paste between the two. 

 

Request from pricing. ",agale,rschott,flyte_public,,Task,Minor
MB-1554,859265,Sorting/filtering by inputs,MB-1838,"Major ask from nearly all customers: pricing, basemap, eta, pax, etc

PRD here: [https://docs.google.com/document/d/1dah6Lvup5uhVudM4FvVojZDgtgT_QQYd4to9PD4Ite8/edit]",agale,rschott,flyte_public,,Task,Minor
MB-1553,859261,Ability to delete/hide obsolete workflows from UI,MB-1525,,agale,rschott,flyte_public,,Task,Minor
MB-1081,511509,Document launch plans in SDK,MB-1737,,matthewsmith,matthewsmith,flyte_public,,Task,Major
MB-1082,511510,Local execution and end-to-end testing strategy,MB-1737,,matthewsmith,matthewsmith,flyte_public,,Task,Major
MB-1138,524747,Parallel Node (Propeller Side),MB-1563,TCS are excited for the native parallelization offered in Flyte 2.0. This task is for the propeller side execution of parallel nodes.,matthewsmith,habuelfutuh,flyte_public,NewFlyte2.0Feature,Task,Minor
MB-1139,524753,Parallel/Map Node,MB-1563,"Allow loose parallelism as a native part of the Flyte spec.  In other words, allow a 'parallel node' to take a list of inputs and map the work out to replicas of the same executable: task, workflow, or launch plan.",matthewsmith,matthewsmith,flyte_public,NewFlyte2.0Feature,Task,Minor
MB-1144,524995,Parallel Node Executions (CLI),MB-1563,Ensure parallel node executions are visible in a reasonable manner in the CLI.,matthewsmith,ytong,flyte_public,NewFlyte2.0Feature,Task,Minor
MB-1151,525010,Notifications for Nodes in SDK,MB-1563,Implement specification of nodes in SDK.,matthewsmith,matthewsmith,flyte_public,NewFlyte2.0Feature,Task,Minor
MB-1161,525166,Default timeout policy,MB-1563,"Right now if a container is misconfigured or something, the job sticks around forever.  Propeller should garbage collect and fail.",matthewsmith,habuelfutuh,flyte_public,,Task,Major
MB-1189,540271,Handle edge cases around schedule updates,MB-1838,"Background: We don't have any transactional guarantees for the case where a schedule rule in cloudwatch is say, deleted but the subsequent database update fails. Although we return an error and a user can retry (and the delete call to cloudwatch is idempotent) unless the user retries we have no guarantee of being in a non-corrupt state.

 

We could update the scheduled workflow event dequeuing logic to trigger a call to delete a rule when no active launch plan versions exist. Unfortunately there's a possible race condition this exposes in the case of an end-user calling disable in one step, and then enable separately after that.

 

As a solution, [~matthewsmith] proposed adding an epoch to schedule names to distinguish them. Since we already want to make schedule names more descriptive (with some kind of truncated project & domain in the name) that work can fall under this work item.",krogan,krogan,flyte_public,,Bug,Major
MB-1225,554537,Node Validators,MB-1563,It should be possible to specify pre and post validators on nodes to prevent advancement of a node (or cache poisoning) if the input/output data does not match standards.,econlon,matthewsmith,Cust_feature_req,flyte_public,Task,Minor
MB-1264,620396,New end2end tests,MB-1525,,habuelfutuh,ytong,flyte_public,,Task,Minor
MB-1300,632013,Implement a walkthrough or tutorial,MB-1563,,rschott,rschott,flyte_public,,Task,Major
MB-1333,653134,Ensure SDK Error Messages Render Correctly for Entities When Config is Not Set,MB-1525,"Some __repr__ methods in Flytekit SDK rely on ""required"" configurations. This obscures exceptions when config is not available in the environment.",matthewsmith,matthewsmith,flyte_public,,Bug,Minor
MB-1463,744309,500 returned when querying outputs for a custom container,MB-1525,There is an expectation from Admin that _some_ type of output will exist in storage for a NodeExecution. This turns out not to be the case if a container is running without the SDK. We need some type of handling for this case.,rschott,matthewsmith,flyte_public,,Bug,Major
MB-1534,837590,"UI: if applicable, show the LP that created a given execution ",MB-1838,"show what launch plan was used to create an execution in the individual executions page

 

(for after MVP)",agale,rschott,flyte_public,NewFlyte2.0Feature,Task,Minor
MB-1543,854142,HTTP 400 returned when attempting to retrieve data for NodeExecution child of a Dynamic Task,MB-1525,"Update:

This is a UI bug. We should not attempt to retrieve inputs if no `inputsUri` is set, and should not attempt to retrieve outputs if `closure.outputsUri` is unset. 

---------------------------

Direct child

[https://flyte.lyft.net/api/v1/data/node_executions/flytekit/production/y9n8xi9amd/task1-b0e1be7f74-h-task-sqb5710215b84d56d6770b72f5e3cd4f797910c6e6-0-0]

Grandchild (nested subtask)

[https://flyte.lyft.net/api/v1/data/node_executions/flytekit/production/y9n8xi9amd/task1-b0e1be7f74-h-task-sqb5710215b84d56d6770b72f5e3cd4f797910c6e6-0-0-78d085b30a--sub-taskb5710215b84d56d6770b72f5e3cd4f797910c6e6-0-0]

The above URLs should both return NodeExecution data for the ids provided, but instead they return an error ""invalid URI"".

 ",rschott,rschott,flyte_public,,Bug,Major
MB-1654,896010,Update visuals used for errors,MB-1838,,rschott,rschott,flyte_public,,Task,Minor
MB-1655,896016,Replace loading indicators,MB-1838,"We want to make some updates to the way we load items:
 * Show no loading indicator if the request returns within 1 second
 * After 1 second, show a shimmer/skeleton state",rschott,rschott,flyte_public,,Task,Minor
MB-1215,550484,Move flytegraph into a separate package,MB-1563,"The graph components in the console are designed to be a reusable package, but while it's under active development I'm leaving it inside the flyteconsole repo. This ticket is for tracking the work to be done to publish it as a standalone package.",rschott,rschott,flyte_public,,Task,Minor
MB-1036,504602,Investigate using gRPC in JS,MB-1563,,rschott,rschott,flyte_public,,Task,Minor
MB-963,478617,Hotkeys,MB-1563,There are probably some hotkeys worth implementing. This is a placeholder to determine what those should be.,rschott,rschott,flyte_public,,Task,Minor
MB-702,384691,Create Flyte Admin API JS client library,MB-1563,,rschott,rschott,flyte_public,,Story,Minor
MB-617,367897,Allow download of Inputs / Outputs,MB-1563,"It's unclear exactly what format things should be in, but for I/O types like CSV/Blob/Schema we should be able to provide a download link for the user.

Options:
 # Convert it to a signed S3 link. This is probably not the right move because we need to verify the identity of a user before allowing them to download
 # Convert the s3:// protocol to an actual s3 link. It would be up to the user to ensure they are assuming the correct role to be able to download the file.

Likely it will be option 2.

For things like CSV list, we have to consider how to display a list of these items.",rschott,rschott,flyte_public,,Task,Minor
MB-157,292297,Handle error codes from Admin API,MB-1563,"The Admin API returns error code values that we can use to show more informative errors to users.

 ",rschott,rschott,flyte_public,,Task,Minor
MB-163,302294,Support specifying notifications when launching workflows via the UI,MB-1525,"The Inputs for launching a workflow accept a `Notifications` fields, which can be used to specify notification rules for specific states. It's a little complicated (can be email, PD, Slack to multiple recipients for multiple states), so we'll tackle it as a separate task.",rschott,rschott,flyte_public,,Task,Major
MB-156,302295,Support scheduling of workflows via the UI,MB-1525,,rschott,rschott,flyte_public,,Task,Major
MB-132,291838,Render Logs directly in the UI,MB-1563,"We have enough information from activity execution entity to make calls directly to AWS to retrieve log stream events.

Accessing log streams requires specific permissions. These won't exist on the client (nor should they). But the server side could be granted that role and be a proxy for the logs.

So it might look something like this:
 * Client makes a request to UI server side to open logs for a specific execution, passing the execution ID. This opens a long-lived TCP request which will be used to stream the log back to the client
 * Server-side opens a connection to AWS to get the log stream for that execution. These have to be retrieved in chunks. Server-side begins streaming the chunks to the client
 * Server-side listens for (pings? Can AWS do push for these?) additional log stream lines and pushes them to the client as they are discovered.

Questions/Concerns:
 * This could be simpler if there was a way for the UI to retrieve a temporary token to use for AWS access. Can the server generate one of these and return it?
 * How do we know when the log stream has ended and we can close the connection to the client? Can we check for a specific string in it? 
 * Each one of these will consume a connection to the server and hold it open for what could be a long time. This could cause resource constraints, but we can always scale the UI servers to accomodate
 * Should we consider web sockets for this type of thing? We could have a mechanism where, while an active websocket connection is open watching a particular execution, the server-side will continue to poll for the latest logs and deliver them to whatever listeners are active. This has the benefit of only making the requests to AWS once if there are multiple listeners
 * If we _do_ use Websockets, this functionality is almost complicated enough to warrant spinning up a separate service to handle it.",rschott,rschott,flyte_public,,Story,Minor
MB-167,255364,Add Auth to Console,MB-1848,Admin handles most of the auth flow. Console needs to properly handle 401 responses and redirect to the auth flow to refresh cookies.,rschott,rschott,flyte_public,,Task,Critical
MB-1576,860697,Expanded error message collapses when scrolling out of view,MB-1525,"# Find an execution in the executions table (workflow details page) that has a long error message.
 # Click to expand the error message.
 # Scroll the row out of view
 # Scroll the row back into view

Expected: The error message should still be expanded.

Actual: The error message renders collapsed, but the row is still the size that it would be with the error message expanded. Now the content sits in the middle of a row that is too tall.",rschott,rschott,flyte_public,,Bug,Minor
MB-1560,859675,Filter/view executions by SHA in Flyte 2.0 UI,MB-1838,"Already in the cli: 

flyte-cli -h flyte.lyft.net -p flytekit -d development list-executions -f ""eq(workflow.version,gitsha)""

 

This is to track potential for this in the UI. 

Customer notes:

 

***NOTE***

The UI can already filter executions by Version, but we don't show versions in the executions table. The work here is mostly for adding that.

Will require a small amount of UX work to determine how to surface versions in the table rows.

 

 ",agale,rschott,flyte_public,,Task,Minor
MB-1566,860429,If-Else in SDK,MB-1525,,matthewsmith,matthewsmith,flyte_public,,Task,Critical
MB-1601,870001,Unclear error in UI when using a wrong argument in {{}} template,MB-1525,"Hey, I was defining a container task in my workflow like this:
 ```
 Container(
 image=CC_TASK_CONTAINER,
 command=[""/usr/local/bin/entrypoint""],
 args=[
 ""/*****"",
 ""--username"", ""{{.inputs.username}}"",
 ],
 resources=Resources(requests=[], limits=[]),
 env=

{ ""***"": ""pdx"", ""****"": ""**.lyft.net"", ""KUBERNETES_CLUSTER_NAME"": ""***"", }

,
 config={},
 ),
 ```

If I put an incorrect argument name in \{{}} template in `args` field it shows me an error in UI that looks like an issue with Flyte Cluster:
 ```
 Workflow[****:development:workflows.***.Workflow] failed. RuntimeExecutionError: max number of system retry attempts [51/50] exhausted., caused by: <nil>
 ```

It would be nice to see an error message related to a wrong argument name.",vbarinov,habuelfutuh,Cust_feature_req,flyte_public,Task,Minor
MB-1624,879762,Enable a KickoffTime() like Input that doesn't require a schedule,MB-1838,"I'd like to be able to have the time a workflow was started as an input to the workflow. I know this works with scheduled workflows, but the use case here is a workflow that isn't scheduled but kicked off ad-hoc. Think of this timestamp as an audit/coordination timestamp.

We attempted to accomplish this using:
 k = Input(Types.Datetime, default=datetime.datetime.now())
 task1(
 t = k
 )
 task2(
 t=k
 ).

Replacing k with datetime.datetime.now() would cause the two tasks to have out of sync times. And leveraging KickoffTime doesn't work. Instead we now have to add a seprate datetime seeing task.",chopkins,matthewsmith,Cust_feature_req,flyte_public,Task,Major
MB-1653,896007,Cleanup / enhancements of expanding node executions,MB-1525,"* Limit nested children of Dynamic Tasks to 10 items, with a link to view the rest on a separate details page
 * Show the count of succeeded/failed/running tasks when expanding a sub-workflow
 * Render log links for task execution items
 * Potentially rename Sub-Workflow and/or make a distinction between a child workflow launched by a LaunchPlan and one launched as a nested workflow.
 * Fix sizing of loading indicator and/or replace it with a placeholder
 * Potentially fix the visual used when displaying an error while loading",rschott,rschott,flyte_public,,Task,Minor
MB-1650,884780,Dynamic Task yields events per sub-task with better parent information,MB-1838,,matthewsmith,ytong,flyte_public,,Task,Critical
MB-1663,899260,Link to cached execution,MB-1525,"When a task is skipped because the results are discovered, add a link to the execution responsible for creating that data catalog entry.",ytong,achan,flyte_public,,Task,Major
MB-1678,911374,"json for launch plans, and workflows",MB-1525,The UI should display the spec for launch plans and workflows in addition to tasks.,ytong,rschott,Cust_ops_problem,flyte_public,Task,Minor
MB-1681,911392,UI - different colors for queued and running,MB-1525,"Queued and Running are of the same colour on the graph, which means that I have to click on the node every time to see if its actually running or just queued for resources. Different colour for queued and running would be a nice have and wouldn't degrade the existing experience.",ytong,rschott,Cust_feature_req,flyte_public,Task,Minor
MB-1683,911412,UI - execution status and error messages,MB-1525,"If an execution fails, I have to go back to the workflow page in order to see the error.  I'd like to be able to see the error on the actual execution page as well.  I feel like I have to go back currently, make sure i'm looking at the right execution (cuz there are sometimes a lot of executions), and then hop back and forth.",ytong,rschott,Cust_feature_req,flyte_public,Task,Major
MB-1693,921135,Improve user metrics,MB-1525,"Users need to be able to better understand how their tasks are doing.  We have a lot of metrics already but we need to document and expose them better.

Currently only execution time is displayed on the UI for instance, no other metrics.  Things that would be helpful to see are duration, cpu and memory utilization.

At the very least we need to document how users can ascertain these for themselves.
",ytong,rschott,flyte_public,,Task,Minor
MB-1709,930000,UI for aborted workflows is confusing,MB-1838,,matthewsmith,rschott,flyte_public,,Task,Major
MB-1754,944230,Terminate button doesn't work,MB-1838,"I believe Ketan looked into this issue a bit - the issue may be that the fly CRD has disappeared from the cluster, so Admin can't successfully terminate anything.

We should maybe handle this case a bit better, figure out why the flyte workflow CRD instance disappeared, and definitely improve error messaging in the UI.",ytong,rschott,flyte_public,,Bug,Major
MB-1755,944751,New Launch UI doesn't show the missing inputs,MB-1838,I tried to kick off a workflow without filling in any of the fields. That resulted in a 400 as expected but the UI only showed the STatus code not the underlying error message (which field is missing),habuelfutuh,rschott,Cust_reported_bug,flyte_public,Bug,Major
MB-1788,962236,Where to find the tasks defined by version without execution? Where to find all versions for a workflow sorted by registered date?,MB-1563,"In Flyte UI

Given a version of workflow, how do we find the definitions for all the tasks?

Given a workflow, how can we get the latest version ( sort by time )?",hzhu,rschott,Cust_feature_req,flyte_public,Task,Minor
MB-1786,959508,Timezone on Schedules in UI,MB-1525,,matthewsmith,rschott,flyte_public,,Task,Major
MB-1791,965727,Flyte UI changes the parameters order,MB-1838,,rcruz,rschott,Cust_reported_bug,flyte_public,Bug,Minor
MB-1823,975660,UI Doesn't Preserve Multiline Input Strings (nor Render Strings with Newlines),MB-1838,,matthewsmith,rschott,flyte_public,,Bug,Major
MB-1824,975663,Transient s3 Issue resulted in an improperly labeled user error,MB-1525,"Additionally, we might consider making system errors retryable by default.

 ",matthewsmith,matthewsmith,flyte_public,,Bug,Minor
MB-1837,980347,ReLaunch a WF with same parameters but a different version sha,MB-1525,"When re-launching a workflow, allow the option to relaunch with a different sha, but with same params. (then trigger it, and let it fail if params changed between revisions), but it would make debugging and development much faster. I can edit code changes locally, go to the last WF failure, and just relaunch with my new sha version (helps when the inputs can be a pain to re-enter all of them), and see it if finishes the next time through",rorendovici,rschott,Cust_feature_req,flyte_public,Task,Major
MB-1856,986438,Cant see launch_plan name in Flyte UI for long named workflows,MB-1525,"when using a workflow with a long name/path, theres no way to see which launch_plan its actually using, since the name is cut off, and also cant select it out of there, or paste a value in there.",rorendovici,rschott,Cust_reported_bug,flyte_public,Bug,Major
MB-1860,989116,Task Execution Can Render Out of Order,MB-1525,,matthewsmith,rschott,flyte_public,,Bug,Major
MB-1880,1001309,Add override sha for relaunching workflows via flyte-cli,MB-1563,"Each month we encounter a set of failed executions (bug in our code, partner changes contract without notice, unexpected scaling limits).  

Flyte-cli has a great interface for getting the list of failures such that they can be piped into the relaunch workflows command, but relaunching doesn't allow us to specify a newer sha where we have fixed the problem causing the failures.  

Our current workaround involves writing a bit of python code, re-familiarizing with the flytekit sdk, etc. which takes us a couple hours every time it happens.

Request is to add a parameter to flyte-cli relaunch for workflow sha to use in lieu of the original one.  ",jzumbrum,matthewsmith,Cust_feature_req,flyte_public,Task,Major
MB-1885,1003754,FlyteAdmin stopped processing scheduling events,MB-1525,"Restarting admin fixed the issue. It seems there is some background executor go-routing which might be crashing and that is not handled well.
 Also logging for the scheduling jobs is very sparse and hard to debug

cc @vbarinov",kumare,krogan,Cust_reported_bug,flyte_public,Bug,Critical
MB-1891,1004495,Implement Closures to replace and generalize dynamic workflows,MB-1563,"[go/flyte-dynamic-wf|http://go/flyte-dynamic-wf]",habuelfutuh,habuelfutuh,flyte_public,,Task,Major
MB-1895,1005644,Inputs for a workflow are in a different order each time I launch the workflow,MB-1924,Order or inputs changes each time I try to launch a workflow in Flyte 2. ,chopkins,rschott,flyte_public,,Bug,Minor
MB-1899,1007081,Rank Ordering of Inputs in UI Rendering,MB-1563,Inputs should be rendered in the order defined in user code for readability. This requires the introduction of a rank field.,agale,matthewsmith,flyte_public,,Task,Minor
MB-1897,1005682,Running task doesn't have a duration in Flyte 2.0 UI,MB-1563,!image-2019-10-17-14-49-55-435.png!,chopkins,rschott,flyte_public,,Bug,Minor
MB-1900,1010522,sidecar task logging broken in the UI,MB-1838,"sidecar task logging seems to be broken in the UI:
 in the UI getting: `k8s task failed, error info not available` 
 and when following the cloudwatch links:
 `Log stream not found`",agreenhall,krogan,Cust_reported_bug,flyte_public,Bug,Critical
MB-1642,884148,Plugins should have a standardized interface,MB-1525,"My recommendation
 - Have a low level plugin interface (Tasks)
 - Have a higher level FlyteK8s interface
 - Have a higher level Services interface

All these interfaces may exist with FlyteIDL or some other place.
The implementation of the machinery that controls them could probably exist with FlytePropeller. The implementations of the plugins could be supplied from various different repositories",kumare,habuelfutuh,Cust_feature_req,flyte_public,Task,Critical
MB-1872,996877,Notebook as Flyte Tasks,MB-1525,,akhurana,matthewsmith,flyte_public,,Task,Major
MB-1769,956782,Sub-Workflow in FlyteKit,MB-1838,,matthewsmith,matthewsmith,flyte_public,,Task,Critical
MB-1926,1026170,Timedelta Input Type Doesn't Appear to Work in UI,MB-1525,"Should be 1 day, but appears to be something else–like 0.  The result is a loop from start -> end time with a timedelta step runs infinitely.",matthewsmith,rschott,flyte_public,,Bug,Critical
MB-1940,1036094,Workflow inputs randomly reorder themselves while I'm reading them,MB-1525,"When I click ""View Inputs and Outputs"" for a running Flyte workflow, the inputs are listed in a random order, and they _randomly reorder themselves every 10 seconds as I'm reading them_ (see attached video).

Over half the time I spend interacting with the Flyte UI is spent copying/pasting inputs from one existing workflow into the ""Launch Workflow"" dialog box. With this bug, the new UI is practically unusable for me.

I think the inputs should consistently display in the same order that they appear in the ""Launch Workflow"" dialog.",kstaley,rschott,flyte_public,,Task,Critical
MB-1944,1037192,Reorganize and consolidate resource management across admin,MB-1525,,krogan,krogan,flyte_public,,Task,Major
MB-1913,1017239,Auditing in Admin authentication,MB-1525,"Currently all the audit function does is print out the email, and the endpoint.  We need to better log all the info, keep track of the output (like executions launched), and write to a db table.",ytong,ytong,flyte_public,,Task,Major
MB-1958,1047209,pyflyte auth,,Authentication work for pyflyte and other in-container calls needs to be done.,ytong,ytong,flyte_public,,Task,Major
MB-1861,989700,Implement pkce compliant flow in cli,MB-1848,,krogan,krogan,flyte_public,,Task,Major
MB-1947,1037801,SdkWorkflow.fetch is broken,MB-1838,"wf = SdkWorkflow.fetch(project, domain, name, version)

returns:
Traceback (most recent call last):
  File ""app/workflows/registerar_workflow.py"", line 70, in <module>
    bump_cache_versions.unit_test(project=""flytekit"", domain=""development"", name=""tests.flytekit.common.workflows.batch.BatchTasksWorkflow"", version=""49aa6fefb9d718b2cceb418b56987a4bd68eae18"", desired_cache_version="""")
  File ""/Users/hamabuelfutuh/.virtualenvs/flyteexamples/lib/python2.7/site-packages/flytekit/common/exceptions/scopes.py"", line 160, in system_entry_point
    _reraise(ex.type, ex.value, ex.traceback)
  File ""/Users/hamabuelfutuh/.virtualenvs/flyteexamples/lib/python2.7/site-packages/flytekit/common/exceptions/scopes.py"", line 163, in system_entry_point
    return wrapped(*args, **kwargs)
  File ""/Users/hamabuelfutuh/.virtualenvs/flyteexamples/lib/python2.7/site-packages/flytekit/common/workflow.py"", line 169, in fetch
    sdk_workflow = cls.promote_from_model(admin_workflow.closure.compiled_workflow.primary.template)
  File ""/Users/hamabuelfutuh/.virtualenvs/flyteexamples/lib/python2.7/site-packages/flytekit/common/workflow.py"", line 189, in promote_from_model
    for n in base_model.nodes
  File ""/Users/hamabuelfutuh/.virtualenvs/flyteexamples/lib/python2.7/site-packages/flytekit/common/workflow.py"", line 189, in <dictcomp>
    for n in base_model.nodes
  File ""/Users/hamabuelfutuh/.virtualenvs/flyteexamples/lib/python2.7/site-packages/flytekit/common/nodes.py"", line 188, in __init__
    non_none_entities
flytekit.common.exceptions.user.FlyteAssertion: An SDK node must have one underlying entity specified at once.  Received the following entities: []",habuelfutuh,matthewsmith,Cust_reported_bug,flyte_public,Bug,Critical
MB-1948,1039662,Workflow compilation should fail if there are no nodes,MB-1924,,krogan,matthewsmith,Cust_reported_bug,flyte_public,Bug,Minor
